Date,Service_Provider
12/1/16 1:00 PM,Uber
12/1/16 1:01 PM,Uber
12/1/16 1:02 PM,Uber
12/1/16 1:02 PM,Uber
12/1/16 1:03 PM,Uber
12/1/16 1:03 PM,Uber
12/1/16 1:03 PM,Uber
12/1/16 1:04 PM,Uber
12/1/16 1:04 PM,Uber
12/1/16 1:04 PM,Uber
12/1/16 1:04 PM,Uber
12/1/16 1:04 PM,Uber
12/1/16 1:05 PM,Lyft
12/1/16 1:05 PM,Uber
12/1/16 1:05 PM,Uber
12/1/16 1:05 PM,Uber
12/1/16 1:06 PM,Uber
12/1/16 1:06 PM,Uber
12/1/16 1:07 PM,Uber
12/1/16 1:08 PM,Uber
12/1/16 1:09 PM,Uber
12/1/16 1:09 PM,Uber
12/1/16 1:09 PM,Uber
12/1/16 1:09 PM,Uber
12/1/16 1:09 PM,Uber
12/1/16 1:10 PM,Uber
12/1/16 1:10 PM,Uber
12/1/16 1:11 PM,Uber
12/1/16 1:12 PM,Uber
12/1/16 1:12 PM,Uber
12/1/16 1:12 PM,Uber
12/1/16 1:13 PM,Uber
12/1/16 1:13 PM,Uber
12/1/16 1:14 PM,Uber
12/1/16 1:15 PM,Uber
12/1/16 1:15 PM,Uber
12/1/16 1:15 PM,Lyft
12/1/16 1:16 PM,Uber
12/1/16 1:17 PM,Uber
12/1/16 1:17 PM,Uber
12/1/16 1:18 PM,Uber
12/1/16 1:18 PM,Uber
12/1/16 1:18 PM,Uber
12/1/16 1:18 PM,Uber
12/1/16 1:19 PM,Uber
12/1/16 1:20 PM,Uber
12/1/16 1:20 PM,Uber
12/1/16 1:20 PM,Lyft
12/1/16 1:21 PM,Uber
12/1/16 1:22 PM,Uber
12/1/16 1:22 PM,Uber
12/1/16 1:23 PM,Uber
12/1/16 1:24 PM,Lyft
12/1/16 1:24 PM,Uber
12/1/16 1:25 PM,Uber
12/1/16 1:25 PM,Uber
12/1/16 1:26 PM,Uber
12/1/16 1:26 PM,Uber
12/1/16 1:26 PM,Uber
12/1/16 1:26 PM,Uber
12/1/16 1:28 PM,Uber
12/1/16 1:28 PM,Lyft
12/1/16 1:29 PM,Uber
12/1/16 1:29 PM,Lyft
12/1/16 1:29 PM,Uber
12/1/16 1:30 PM,Uber
12/1/16 1:30 PM,Uber
12/1/16 1:30 PM,Lyft
12/1/16 1:32 PM,Uber
12/1/16 1:33 PM,Uber
12/1/16 1:34 PM,Uber
12/1/16 1:35 PM,Uber
12/1/16 1:35 PM,Uber
12/1/16 1:35 PM,Uber
12/1/16 1:35 PM,Uber
12/1/16 1:36 PM,Lyft
12/1/16 1:37 PM,Uber
12/1/16 1:37 PM,Uber
12/1/16 1:37 PM,Uber
12/1/16 1:38 PM,Uber
12/1/16 1:38 PM,Uber
12/1/16 1:38 PM,Uber
12/1/16 1:41 PM,Lyft
12/1/16 1:42 PM,Lyft
12/1/16 1:42 PM,Lyft
12/1/16 1:43 PM,Uber
12/1/16 1:45 PM,Uber
12/1/16 1:46 PM,Uber
12/1/16 1:46 PM,Lyft
12/1/16 1:46 PM,Uber
12/1/16 1:46 PM,Uber
12/1/16 1:46 PM,Uber
12/1/16 1:46 PM,Uber
12/1/16 1:47 PM,Uber
12/1/16 1:47 PM,Uber
12/1/16 1:47 PM,Uber
12/1/16 1:47 PM,Uber
12/1/16 1:49 PM,Uber
12/1/16 1:50 PM,Uber
12/1/16 1:52 PM,Uber
12/1/16 1:53 PM,Uber
12/1/16 1:53 PM,Uber
12/1/16 1:53 PM,Uber
12/1/16 1:55 PM,Lyft
12/1/16 1:56 PM,Uber
12/1/16 1:56 PM,Uber
12/1/16 1:57 PM,Uber
12/1/16 1:57 PM,Uber
12/1/16 1:57 PM,Uber
12/1/16 1:58 PM,Uber
12/1/16 1:58 PM,Lyft
12/1/16 1:59 PM,Uber
12/1/16 1:59 PM,Uber
12/1/16 2:00 PM,Lyft
12/1/16 2:01 PM,Lyft
12/1/16 2:01 PM,Uber
12/1/16 2:01 PM,Uber
12/1/16 2:01 PM,Uber
12/1/16 2:02 PM,Uber
12/1/16 2:02 PM,Uber
12/1/16 2:02 PM,Uber
12/1/16 2:02 PM,Lyft
